Date,Description,Amount,Type
2026-04-01,Swiggy Order #4821,450.00,Debit
2026-04-01,Salary Credit,85000.00,Credit
2026-04-02,Amazon Purchase,1299.00,Debit
2026-04-02,Uber Ride to Airport,680.00,Debit
2026-04-03,Big Bazaar Groceries,2340.00,Debit
2026-04-04,Netflix Subscription,649.00,Debit
2026-04-05,Zomato Order,320.00,Debit
2026-04-05,ATM Withdrawal,5000.00,Debit
2026-04-06,Electricity Bill BESCOM,1850.00,Debit
2026-04-07,Dominos Pizza,780.00,Debit
2026-04-08,Ola Cab,230.00,Debit
2026-04-08,Freelance Payment Received,15000.00,Credit
2026-04-09,Flipkart Electronics,8999.00,Debit
2026-04-10,Gym Membership,1500.00,Debit
2026-04-11,PVR Cinema Tickets,700.00,Debit
2026-04-12,Airtel Recharge,299.00,Debit
2026-04-13,Medical Pharmacy,560.00,Debit
2026-04-14,Starbucks Coffee,450.00,Debit
2026-04-15,Book Purchase Flipkart,399.00,Debit
2026-04-16,House Rent Transfer,18000.00,Debit
2026-04-17,Swiggy Instamart,890.00,Debit
2026-04-18,IndiGo Flight Ticket,4500.00,Debit
2026-04-19,Spotify Premium,119.00,Debit
2026-04-20,Petrol Pump,2000.00,Debit
2026-04-21,Restaurant Bill,1200.00,Debit
2026-04-22,UPI Transfer Received,3000.00,Credit
2026-04-23,Coursera Subscription,1500.00,Debit
2026-04-24,Doctor Consultation,800.00,Debit
2026-04-25,Myntra Clothes,2199.00,Debit
2026-04-26,Interest Credit,120.00,Credit
